training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
training_exchange_layers,breast,20,60,178.78493220000018,0.0728643216080402,0.07017543859649122,0.03508771929824561
training_exchange_layers,breast,20,80,232.5419450999998,0.05778894472361809,0.017543859649122806,0.0
training_exchange_layers,breast,20,100,287.59102340000027,0.052763819095477386,0.008771929824561403,0.017543859649122806
training_exchange_layers,breast,40,20,142.17037590000018,0.05778894472361809,0.02631578947368421,0.03508771929824561
training_exchange_layers,breast,40,40,243.5579389000004,0.05025125628140704,0.03508771929824561,0.10526315789473684
training_exchange_layers,breast,40,60,347.3839446000002,0.02763819095477387,0.02631578947368421,0.017543859649122806
training_exchange_layers,breast,40,80,449.2132648000006,0.032663316582914576,0.02631578947368421,0.05263157894736842
training_exchange_layers,breast,40,100,544.5238157000003,0.04020100502512563,0.02631578947368421,0.0
training_exchange_layers,breast,60,20,207.3287822000002,0.052763819095477386,0.03508771929824561,0.017543859649122806
training_exchange_layers,breast,60,40,382.3801383,0.02763819095477387,0.017543859649122806,0.0
training_exchange_layers,breast,60,60,513.6809551000006,0.05527638190954774,0.017543859649122806,0.03508771929824561
training_exchange_layers,breast,60,80,664.8765804000004,0.035175879396984924,0.02631578947368421,0.017543859649122806
training_exchange_layers,breast,60,100,821.7676305000005,0.02512562814070352,0.008771929824561403,0.0
training_exchange_layers,breast,80,20,278.2960906999997,0.03015075376884422,0.008771929824561403,0.03508771929824561
training_exchange_layers,breast,80,40,478.27392409999993,0.06532663316582915,0.05263157894736842,0.017543859649122806
training_exchange_layers,breast,80,60,679.4784559,0.017587939698492462,0.008771929824561403,0.0
training_exchange_layers,breast,80,80,881.7985429,0.02512562814070352,0.017543859649122806,0.017543859649122806
training_exchange_layers,breast,80,100,1096.9094468999992,0.02763819095477387,0.008771929824561403,0.0
training_exchange_layers,breast,100,20,355.3511318000001,0.05527638190954774,0.05263157894736842,0.017543859649122806
training_exchange_layers,breast,100,40,610.4228721,0.04020100502512563,0.02631578947368421,0.0
training_exchange_layers,breast,100,60,856.0714671999995,0.03768844221105527,0.017543859649122806,0.017543859649122806
training_exchange_layers,breast,100,80,1153.0917155000006,0.020100502512562814,0.008771929824561403,0.017543859649122806
training_exchange_layers,breast,100,100,1354.3804612999975,0.022613065326633167,0.017543859649122806,0.0
training_exchange_layers,breast,500,20,1723.0303486999983,0.03015075376884422,0.008771929824561403,0.017543859649122806
training_exchange_layers,breast,500,40,2937.7354191000013,0.020100502512562814,0.008771929824561403,0.03508771929824561
training_exchange_layers,breast,500,60,4205.461070600002,0.022613065326633167,0.008771929824561403,0.017543859649122806
training_exchange_layers,breast,500,80,5407.975743900002,0.04020100502512563,0.008771929824561403,0.0
training_exchange_layers,breast,500,100,6633.8326397,0.035175879396984924,0.008771929824561403,0.0
training_exchange_layers,breast,1000,20,3446.7898285,0.01256281407035176,0.008771929824561403,0.017543859649122806
training_exchange_layers,breast,1000,40,5864.534755500001,0.017587939698492462,0.017543859649122806,0.017543859649122806
training_exchange_layers,breast,1000,60,8251.9742404,0.010050251256281407,0.008771929824561403,0.0
training_exchange_layers,breast,1000,80,10656.9519062,0.010050251256281407,0.008771929824561403,0.017543859649122806
training_exchange_layers,breast,1000,100,13087.398841400001,0.032663316582914576,0.008771929824561403,0.0
training_exchange_layers_e,breast,20,20,76.07193709999999,0.06532663316582915,0.08771929824561403,0.03508771929824561
training_exchange_layers_e,breast,20,40,134.56006049999996,0.06030150753768844,0.06140350877192982,0.017543859649122806
training_exchange_layers_e,breast,20,60,185.5676234,0.08040201005025126,0.03508771929824561,0.05263157894736842
training_exchange_layers_e,breast,20,80,238.4094740999999,0.032663316582914576,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,20,100,289.0354051999999,0.03768844221105527,0.02631578947368421,0.0
