training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
training_exchange_layers,circle,60,100,42.37512200000003,0.017142857142857144,0.01,0.0
training_exchange_layers,circle,80,20,32.79264839999996,0.02,0.01,0.02
training_exchange_layers,circle,80,40,20.9659987,0.002857142857142857,0.0,0.0
training_exchange_layers,circle,80,60,29.903258999999935,0.014285714285714285,0.01,0.02
training_exchange_layers,circle,80,80,39.192035600000054,0.014285714285714285,0.02,0.04
training_exchange_layers,circle,80,100,47.98488859999998,0.0,0.0,0.02
training_exchange_layers,circle,100,20,15.145604800000001,0.002857142857142857,0.0,0.0
training_exchange_layers,circle,100,40,26.3101944,0.002857142857142857,0.0,0.0
training_exchange_layers,circle,100,60,37.44479720000004,0.02857142857142857,0.06,0.04
training_exchange_layers,circle,100,80,48.69409150000001,0.03142857142857143,0.02,0.02
training_exchange_layers,circle,100,100,59.78458250000017,0.025714285714285714,0.0,0.02
training_exchange_layers,circle,500,20,83.24328369999989,0.002857142857142857,0.0,0.0
training_exchange_layers,circle,500,40,138.1585915999999,0.025714285714285714,0.02,0.02
training_exchange_layers,circle,500,60,193.49697349999997,0.008571428571428572,0.01,0.0
training_exchange_layers,circle,500,80,249.60827860000018,0.005714285714285714,0.0,0.0
training_exchange_layers,circle,500,100,305.5289562999999,0.0,0.0,0.0
training_exchange_layers,circle,1000,20,194.95138309999993,0.005714285714285714,0.0,0.0
training_exchange_layers,circle,1000,40,315.95708399999967,0.02,0.03,0.02
training_exchange_layers,circle,1000,60,440.7904103000001,0.02,0.02,0.0
training_exchange_layers,circle,1000,80,530.7783041999996,0.005714285714285714,0.01,0.0
training_exchange_layers,circle,1000,100,648.7996682000003,0.005714285714285714,0.02,0.02
training_exchange_layers_e,circle,20,20,3.868400700001075,0.10571428571428572,0.07,0.06
training_exchange_layers_e,circle,20,40,6.311365800000203,0.09428571428571429,0.14,0.1
training_exchange_layers_e,circle,20,60,8.703026499999396,0.05714285714285714,0.09,0.08
training_exchange_layers_e,circle,20,80,11.127301700002135,0.12285714285714286,0.15,0.06
training_exchange_layers_e,circle,20,100,13.435979100002442,0.12857142857142856,0.1,0.08
training_exchange_layers_e,circle,40,20,6.602193500002613,0.08571428571428572,0.04,0.04
training_exchange_layers_e,circle,40,40,11.251287499999307,0.02,0.04,0.02
training_exchange_layers_e,circle,40,60,15.915761099997326,0.03428571428571429,0.03,0.06
training_exchange_layers_e,circle,40,80,20.51316770000267,0.002857142857142857,0.0,0.0
training_exchange_layers_e,circle,40,100,25.190462900001876,0.005714285714285714,0.0,0.0
training_exchange_layers_e,circle,60,20,9.386101399999461,0.025714285714285714,0.03,0.04
training_exchange_layers_e,circle,60,40,16.549038799999835,0.002857142857142857,0.0,0.0
training_exchange_layers_e,circle,60,60,23.172533199998725,0.017142857142857144,0.0,0.02
training_exchange_layers_e,circle,60,80,30.14698219999991,0.025714285714285714,0.02,0.04
training_exchange_layers_e,circle,60,100,36.87959310000224,0.017142857142857144,0.04,0.02
training_exchange_layers_e,circle,80,20,12.281133500000578,0.008571428571428572,0.0,0.02
training_exchange_layers_e,circle,80,40,21.629121099998883,0.02,0.02,0.02
training_exchange_layers_e,circle,80,60,30.599322800000664,0.002857142857142857,0.0,0.0
training_exchange_layers_e,circle,80,80,39.84113230000003,0.014285714285714285,0.01,0.04
training_exchange_layers_e,circle,80,100,48.78534410000066,0.017142857142857144,0.02,0.0
training_exchange_layers_e,circle,100,20,15.172543299999234,0.005714285714285714,0.0,0.0
training_exchange_layers_e,circle,100,40,26.694359000000986,0.03142857142857143,0.03,0.04
training_exchange_layers_e,circle,100,60,38.16998759999842,0.06,0.05,0.02
training_exchange_layers_e,circle,100,80,49.39795299999969,0.014285714285714285,0.01,0.04
training_exchange_layers_e,circle,100,100,60.488940100000036,0.02857142857142857,0.05,0.02
training_exchange_layers_e,circle,500,20,83.8159083999999,0.017142857142857144,0.01,0.02
training_exchange_layers_e,circle,500,40,140.15600959999938,0.02857142857142857,0.0,0.06
training_exchange_layers_e,circle,500,60,197.71298409999872,0.02857142857142857,0.03,0.0
training_exchange_layers_e,circle,500,80,253.6176001999993,0.008571428571428572,0.02,0.02
training_exchange_layers_e,circle,500,100,308.18736360000185,0.02857142857142857,0.04,0.02
training_exchange_layers_e,circle,1000,20,199.98913800000082,0.022857142857142857,0.07,0.0
training_exchange_layers_e,circle,1000,40,311.615176299998,0.002857142857142857,0.0,0.0
training_exchange_layers_e,circle,1000,60,426.4505649999992,0.008571428571428572,0.01,0.02
training_exchange_layers_e,circle,1000,80,536.3756267000026,0.014285714285714285,0.02,0.06
training_exchange_layers_e,circle,1000,100,646.1785956000022,0.005714285714285714,0.0,0.0
no_individual_layers,circle,20,20,2.035555000002205,0.4685714285714286,0.44,0.38
no_individual_layers,circle,20,40,3.6319750000002387,0.5885714285714285,0.55,0.58
no_individual_layers,circle,20,60,5.228328400000464,0.5057142857142857,0.52,0.42
no_individual_layers,circle,20,80,6.7996882000006735,0.5114285714285715,0.48,0.46
no_individual_layers,circle,20,100,8.368455600000743,0.4657142857142857,0.56,0.34
no_individual_layers,circle,40,20,3.8709206999992603,0.49142857142857144,0.51,0.54
no_individual_layers,circle,40,40,6.929089999997814,0.42857142857142855,0.44,0.44
no_individual_layers,circle,40,60,9.969997500000318,0.32571428571428573,0.35,0.48
no_individual_layers,circle,40,80,13.040937399997347,0.47714285714285715,0.46,0.52
no_individual_layers,circle,40,100,16.072928199999296,0.5028571428571429,0.48,0.52
no_individual_layers,circle,60,20,5.7079879000011715,0.4828571428571429,0.48,0.66
no_individual_layers,circle,60,40,10.238185999998677,0.5771428571428572,0.6,0.54
no_individual_layers,circle,60,60,14.968252999999095,0.4085714285714286,0.47,0.36
no_individual_layers,circle,60,80,19.335094400001253,0.6628571428571428,0.7,0.7
no_individual_layers,circle,60,100,24.005586100000073,0.38571428571428573,0.3,0.44
no_individual_layers,circle,80,20,7.655693700002303,0.4942857142857143,0.55,0.44
no_individual_layers,circle,80,40,13.657768000000942,0.64,0.67,0.8
no_individual_layers,circle,80,60,19.667403600000398,0.7457142857142857,0.68,0.64
no_individual_layers,circle,80,80,25.779554000000644,0.6771428571428572,0.62,0.6
no_individual_layers,circle,80,100,31.766767699999036,0.37142857142857144,0.39,0.22
no_individual_layers,circle,100,20,9.513662699999259,0.6257142857142857,0.62,0.64
no_individual_layers,circle,100,40,17.032600500002445,0.5171428571428571,0.49,0.46
no_individual_layers,circle,100,60,24.45108220000111,0.6285714285714286,0.62,0.54
no_individual_layers,circle,100,80,32.00628219999999,0.5942857142857143,0.58,0.48
no_individual_layers,circle,100,100,39.782875400000194,0.4685714285714286,0.57,0.58
no_individual_layers,circle,500,20,46.869029299999966,0.5085714285714286,0.47,0.5
no_individual_layers,circle,500,40,84.38226869999926,0.6428571428571429,0.63,0.68
no_individual_layers,circle,500,60,129.4775877000029,0.5514285714285714,0.5,0.48
no_individual_layers,circle,500,80,157.0654942000001,0.5314285714285715,0.48,0.32
no_individual_layers,circle,500,100,194.08630730000004,0.4685714285714286,0.46,0.58
no_individual_layers,circle,1000,20,93.88400099999853,0.4828571428571429,0.42,0.64
no_individual_layers,circle,1000,40,166.59134129999802,0.5028571428571429,0.5,0.48
no_individual_layers,circle,1000,60,240.72529959999883,0.52,0.43,0.5
no_individual_layers,circle,1000,80,314.2163685000014,0.3914285714285714,0.35,0.34
no_individual_layers,circle,1000,100,386.69638009999835,0.21428571428571427,0.22,0.2
no_exchange_layers,circle,20,20,2.0998847000009846,0.011428571428571429,0.0,0.0
no_exchange_layers,circle,20,40,3.7525119999991148,0.08571428571428572,0.03,0.1
no_exchange_layers,circle,20,60,5.401593200000207,0.017142857142857144,0.01,0.06
no_exchange_layers,circle,20,80,7.145185499997751,0.008571428571428572,0.01,0.0
no_exchange_layers,circle,20,100,8.850938999999926,0.0,0.0,0.0
no_exchange_layers,circle,40,20,4.044932799999515,0.06857142857142857,0.03,0.06
no_exchange_layers,circle,40,40,7.158450699997047,0.0,0.0,0.0
no_exchange_layers,circle,40,60,10.332045999999536,0.005714285714285714,0.0,0.02
no_exchange_layers,circle,40,80,13.527522399999725,0.06,0.05,0.02
no_exchange_layers,circle,40,100,16.6965268999993,0.005714285714285714,0.0,0.02
no_exchange_layers,circle,60,20,5.887199199998577,0.014285714285714285,0.06,0.02
no_exchange_layers,circle,60,40,10.654368599996815,0.02857142857142857,0.01,0.0
no_exchange_layers,circle,60,60,15.27626660000169,0.002857142857142857,0.01,0.0
no_exchange_layers,circle,60,80,19.996913399998448,0.002857142857142857,0.03,0.02
no_exchange_layers,circle,60,100,24.954336499999044,0.005714285714285714,0.0,0.02
no_exchange_layers,circle,80,20,7.8609867000013764,0.21142857142857144,0.25,0.34
no_exchange_layers,circle,80,40,14.130813799998577,0.02,0.03,0.02
no_exchange_layers,circle,80,60,20.370057799998904,0.005714285714285714,0.0,0.0
no_exchange_layers,circle,80,80,26.645190100000036,0.03428571428571429,0.03,0.0
no_exchange_layers,circle,80,100,32.93534230000296,0.002857142857142857,0.0,0.0
no_exchange_layers,circle,100,20,10.049122900003567,0.03142857142857143,0.05,0.04
no_exchange_layers,circle,100,40,17.57994029999827,0.014285714285714285,0.05,0.0
no_exchange_layers,circle,100,60,25.464717500002735,0.011428571428571429,0.03,0.02
no_exchange_layers,circle,100,80,33.27391209999769,0.017142857142857144,0.01,0.02
no_exchange_layers,circle,100,100,41.09857999999804,0.002857142857142857,0.01,0.0
no_exchange_layers,circle,500,20,48.72621639999852,0.011428571428571429,0.0,0.02
no_exchange_layers,circle,500,40,88.49277480000092,0.005714285714285714,0.0,0.0
no_exchange_layers,circle,500,60,147.6931915999994,0.037142857142857144,0.04,0.02
no_exchange_layers,circle,500,80,164.03277739999976,0.002857142857142857,0.01,0.02
no_exchange_layers,circle,500,100,202.17562650000036,0.005714285714285714,0.01,0.0
no_exchange_layers,circle,1000,20,96.88288100000136,0.0,0.0,0.0
no_exchange_layers,circle,1000,40,173.5564642999998,0.002857142857142857,0.0,0.04
no_exchange_layers,circle,1000,60,249.6930410999994,0.03142857142857143,0.04,0.02
no_exchange_layers,circle,1000,80,326.6795168999997,0.0,0.0,0.0
no_exchange_layers,circle,1000,100,403.7740131000028,0.025714285714285714,0.0,0.0
