training_type,data_name,max_iter,n_particle,best,worst
training_exchange_layers_e,circle,500,60,0.0151092192847095,0.7566225662361299
training_exchange_layers_e,circle,500,80,0.0248077455072543,0.793347626430765
training_exchange_layers_e,circle,500,100,0.0075417736904472,0.7406954493925004
training_exchange_layers_e,circle,1000,20,0.0447413579633495,0.7174099894846361
training_exchange_layers_e,circle,1000,40,0.0025483971230168,0.9987403932198532
training_exchange_layers_e,circle,1000,60,0.0021894816203059,0.7983033507317576
training_exchange_layers_e,circle,1000,80,0.0011167309933123,1.624805832505711
training_exchange_layers_e,circle,1000,100,3.3246314987479364e-05,0.904074545114682
no_individual_layers,circle,20,20,0.5634286595333479,0.7087366597874925
no_individual_layers,circle,20,40,0.5201783699347697,0.6790592071291378
no_individual_layers,circle,20,60,0.5419912074910428,0.6878138046567691
no_individual_layers,circle,20,80,0.4317195752915648,0.6822362179633036
no_individual_layers,circle,20,100,0.4044523199271622,0.6710837720745153
no_individual_layers,circle,40,20,0.5642407565611202,0.6883804381914426
no_individual_layers,circle,40,40,0.3881409097536002,0.7169912366216457
no_individual_layers,circle,40,60,0.4888158666235492,0.6883026252669454
no_individual_layers,circle,40,80,0.5122098545199352,0.6874562180837072
no_individual_layers,circle,40,100,0.4650069493787603,0.696416540616806
no_individual_layers,circle,60,20,0.5413879750808895,0.697961424686531
no_individual_layers,circle,60,40,0.5025745139589488,0.6951119003010692
no_individual_layers,circle,60,60,0.4324251438647766,0.7061599802843046
no_individual_layers,circle,60,80,0.42319361336117,0.6771476951586021
no_individual_layers,circle,60,100,0.4208416755428908,0.6820661950252979
no_individual_layers,circle,80,20,0.4883233333867935,0.6989515919176296
no_individual_layers,circle,80,40,0.5440698144482768,0.6965459113575215
no_individual_layers,circle,80,60,0.3868576899615715,0.6844901030958805
no_individual_layers,circle,80,80,0.5068541476765879,0.6906982636712328
no_individual_layers,circle,80,100,0.4709790356525425,0.7002097413270014
no_individual_layers,circle,100,20,0.4475643042812147,0.6843000274697161
no_individual_layers,circle,100,40,0.3217544234802169,0.6851064653092688
no_individual_layers,circle,100,60,0.3514975026135699,0.6835128404521114
no_individual_layers,circle,100,80,0.3341361006121291,0.7045115002748208
no_individual_layers,circle,100,100,0.3217079967535341,0.6866725836916429
no_individual_layers,circle,500,20,0.6192020856453878,0.6975448032758911
no_individual_layers,circle,500,40,0.3849836465299554,0.6927085289306418
no_individual_layers,circle,500,60,0.3210405777963074,0.6923771401446631
no_individual_layers,circle,500,80,0.3244263005590762,0.6893033389081344
no_individual_layers,circle,500,100,0.230519010500626,0.6876987531573544
no_individual_layers,circle,1000,20,0.4207392352743276,0.6794371166497399
no_individual_layers,circle,1000,40,0.4369312962053134,0.6730207184041912
no_individual_layers,circle,1000,60,0.1595980714562134,0.6827384317115502
no_individual_layers,circle,1000,80,0.1140489724431494,0.6589478687841449
no_individual_layers,circle,1000,100,0.1109307013137578,0.6933416236973189
no_exchange_layers,circle,20,20,0.5164234307560649,0.6867598181309784
no_exchange_layers,circle,20,40,0.5350425395154405,0.6913665549509386
no_exchange_layers,circle,20,60,0.4746109640248437,0.6932521658594194
no_exchange_layers,circle,20,80,0.4309869373268588,0.6930219300564268
no_exchange_layers,circle,20,100,0.4009128112611314,0.7061655424065129
no_exchange_layers,circle,40,20,0.2825999741508049,0.6881998440183388
no_exchange_layers,circle,40,40,0.4498142506796461,0.82950165590538
no_exchange_layers,circle,40,60,0.30780220836824,0.7272938657226626
no_exchange_layers,circle,40,80,0.3032444100461519,0.6968466577926137
no_exchange_layers,circle,40,100,0.2711425056104372,1.6330521728287897
no_exchange_layers,circle,60,20,0.3947622803773997,0.6967467452913098
no_exchange_layers,circle,60,40,0.2111667633310864,0.6696327719014235
no_exchange_layers,circle,60,60,0.2810485527397425,1.5222798926945915
no_exchange_layers,circle,60,80,0.1897559774997822,0.7375103199183888
no_exchange_layers,circle,60,100,0.2695408555848416,0.6592979714285528
no_exchange_layers,circle,80,20,0.3053289185082198,0.6916979312331307
no_exchange_layers,circle,80,40,0.2455180364626645,0.7127968855544328
no_exchange_layers,circle,80,60,0.1874104054705853,0.8323099285618413
no_exchange_layers,circle,80,80,0.1525110397537527,0.7002609960878751
no_exchange_layers,circle,80,100,0.0949520064340941,1.1833107821933575
no_exchange_layers,circle,100,20,0.2076474922216721,0.8168727589096858
no_exchange_layers,circle,100,40,0.182997964704849,0.7740756569003904
no_exchange_layers,circle,100,60,0.063956029859857,0.677765682188188
no_exchange_layers,circle,100,80,0.0873127188317079,0.6529826025825856
no_exchange_layers,circle,100,100,0.0460646784284552,0.7501585770255759
no_exchange_layers,circle,500,20,0.1134496426547606,0.707898897730677
no_exchange_layers,circle,500,40,0.0187044690349133,0.8141973992703178
no_exchange_layers,circle,500,60,0.0005371351240082,0.7620574526995972
no_exchange_layers,circle,500,80,0.0006391603750506,0.6751729815440609
no_exchange_layers,circle,500,100,0.0197275456286489,0.8294516493811271
no_exchange_layers,circle,1000,20,0.0754786790225626,0.7283837261746204
no_exchange_layers,circle,1000,40,0.0055327472285249,0.739600461872286
no_exchange_layers,circle,1000,60,0.152353039285857,0.6928658811376543
no_exchange_layers,circle,1000,80,0.0022955808756678,0.7473038270638754
no_exchange_layers,circle,1000,100,0.0153272400848143,0.6769664265106101
