training_type,data_name,max_iter,n_particle,best,worst
no_exchange_layers,iris,80,100,0.0575680735879674,0.5072456581479897
no_exchange_layers,iris,100,20,0.0583145876583353,0.9661638914888496
no_exchange_layers,iris,100,40,0.052415242660073,1.896528776663579
no_exchange_layers,iris,100,60,0.0579378744042006,0.7213110013065868
no_exchange_layers,iris,100,80,0.0480630607214853,1.0634173820406707
no_exchange_layers,iris,100,100,0.0504952921745503,0.7506838563402185
no_exchange_layers,iris,500,20,0.0653065401582757,1.0885271790431077
no_exchange_layers,iris,500,40,0.0482791889029522,0.5086478644988648
no_exchange_layers,iris,500,60,0.0484577930150833,0.8684936642142723
no_exchange_layers,iris,500,80,0.0167062494046604,1.2993831952981696
no_exchange_layers,iris,500,100,0.0455744235433836,0.4414329940500747
no_exchange_layers,iris,1000,20,0.0491514962122085,1.0438294916382551
no_exchange_layers,iris,1000,40,0.0381157369891106,0.6400402718298804
no_exchange_layers,iris,1000,60,0.0278746184286459,1.1667126667114345
no_exchange_layers,iris,1000,80,0.0510391833996835,0.6390652903960361
no_exchange_layers,iris,1000,100,0.0486996504701336,0.5480628017284371
