training_type,data_name,max_iter,n_particle,avg_exe
no_exchange_layers,iris,500,40,7.788188373333347
no_exchange_layers,iris,500,60,11.362778453333355
no_exchange_layers,iris,500,80,14.853928473333326
no_exchange_layers,iris,500,100,18.548625193333343
no_exchange_layers,iris,1000,20,8.651547719999947
no_exchange_layers,iris,1000,40,15.722064146666616
no_exchange_layers,iris,1000,60,22.823030113333363
no_exchange_layers,iris,1000,80,30.076869813333268
no_exchange_layers,iris,1000,100,37.05793142666662
one_individual_layers,iris,20,20,0.1481550733333354
one_individual_layers,iris,20,40,0.2803660333333482
one_individual_layers,iris,20,60,0.4118208666666608
one_individual_layers,iris,20,80,0.5443484466666784
one_individual_layers,iris,20,100,0.675051566666654
one_individual_layers,iris,40,20,0.2842348600000074
one_individual_layers,iris,40,40,0.5392630333333348
one_individual_layers,iris,40,60,0.8352979333333224
one_individual_layers,iris,40,80,1.1533125666666668
one_individual_layers,iris,40,100,1.355875519999995
one_individual_layers,iris,60,20,0.4270609133333286
one_individual_layers,iris,60,40,0.808026560000015
one_individual_layers,iris,60,60,1.1824584266666534
one_individual_layers,iris,60,80,1.55723957333333
one_individual_layers,iris,60,100,1.941346406666662
one_individual_layers,iris,80,20,0.5557864133333397
one_individual_layers,iris,80,40,1.0650263999999878
one_individual_layers,iris,80,60,1.576927006666665
one_individual_layers,iris,80,80,2.0641387866666414
one_individual_layers,iris,80,100,2.560520013333325
one_individual_layers,iris,100,20,0.692601840000043
one_individual_layers,iris,100,40,1.377933986666676
one_individual_layers,iris,100,60,2.0400744333333174
one_individual_layers,iris,100,80,2.6311706799999985
one_individual_layers,iris,100,100,3.27167077333335
one_individual_layers,iris,500,20,3.4632574800000384
one_individual_layers,iris,500,40,6.650121900000022
one_individual_layers,iris,500,60,9.721872073333346
one_individual_layers,iris,500,80,12.911775060000004
one_individual_layers,iris,500,100,16.170753926666688
one_individual_layers,iris,1000,20,6.93036409333331
one_individual_layers,iris,1000,40,13.34847014666669
one_individual_layers,iris,1000,60,19.507034866666647
one_individual_layers,iris,1000,80,25.936011000000025
one_individual_layers,iris,1000,100,32.2458948933333
